word;literary;abstract;objective;colloquial;concrete;subjective
dipshit;;;;1;;1
spectacular;;;;;;1
definitive;;1;1;;;
sociology;;1;;;;
stupid;;;;;;1
shithead;;;;1;;1
contrivance;;;1;;;
ascribe;1;;1;;;
raiment;1;;;;1;
handsome;;;;;;1
douche;;;;;1;
portable;;;;;1;
reciprocal;;;1;;;
economy;;1;;;;
blow;;;;;1;
invariable;;;1;;;
leg;;;;;1;
conception;;;;;1;
flower;;;;;1;
word;literary;abstract;objective;colloquial;concrete;subjective
allegory;1;;;;;
outcome;;;1;;;
kk;;;;1;;
desirable;;;;;;1
dissuade;;1;;;;
brazen;;;;;;1
anal-retentive;;1;;1;;1
equivocation;;1;1;;;
inventory;;;;;;
freebie;;;;1;;
smash;;;;;1;
religion;;1;;;;
whip;;;;;1;
clarification;;;1;;;
disinclined;;;1;;;
devastating;;;;;;1
consume;;;1;;;
extenuate;;1;1;;;
occupied;;;1;;;
defile;;;;;;1
word;literary;abstract;objective;colloquial;concrete;subjective
deportment;1;;;;;
sovereignty;;1;;;;
objective;;;;;;
ppl;;;;1;;
jowls;;;;;1;
component;;;;;1;
alter;;;1;;;
originate;;;1;;;
apprehend;;;1;;;
intelligent;;;;;;1
meticulous;;;;;;1
diplomatic;;1;1;;;1
unchangeable;;;1;;;
splash;;;;;1;
barf;;;;1;1;
wolf;;;;;1;
disparage;;1;1;;;
wagon;;;;;1;
commentary;;;1;;;
engaging;;;1;;;1
word;literary;abstract;objective;colloquial;concrete;subjective
regal;;;;;;1
preposterous;1;;1;;;1
slice;;;;;1;
discuss;;;1;;;
rip;;;;;1;
exult;1;;;;;1
fabulous;;;;;;1
luscious;;;;;;1
revel;1;;;;;
harrowing;;;;;;1
disheartened;;;;;;1
zenith;;;;;1;
ya;;;;1;;
woulda;;;;1;;
excursion;1;;1;;;
require;;;1;;;
rechargeable;;;;;1;
pharmaceutical;;;1;;1;
shout;;;;;1;
decrease;;;1;;1;
word;literary;abstract;objective;colloquial;concrete;subjective
predominant;;;1;;;
ethos;1;1;;;;
poop;;;;1;1;
guarantee;;1;;;;
dainty;;;;;1;
interior;;;1;;;
raccoon;;;;;1;
elephant;;;;;1;
earnest;1;;;;;1
impale;;;;;1;
bounce;;;;;1;
disillusioned;;;1;;;1
doggerel;;1;;;;1
administer;;;1;;;
observance;;;1;;;
suggestible;;1;;;;
fridge;;;;;1;
accredit;;1;;;;
cop;;;;1;;
bracelet;;;;;1;
word;literary;abstract;objective;colloquial;concrete;subjective
cocky;;1;;1;;1
premium;;;1;;;
psycho;;;;1;;1
prerogative;;;1;;;
frat;;;;1;;
geography;;1;1;;;
sophism;1;1;;;;
cruel;;;1;;;1
buck;;;;1;;
streamlined;;;1;;;
sexy;;;;;1;1
integrity;;1;;;;
sink;;;;;1;
melt;;;;;1;
door;;;;;1;
happy;;;;;;1
all-nighter;;;;1;;
hostility;;;1;;;
signification;;;1;;;
well-developed;;;1;;;
word;literary;abstract;objective;colloquial;concrete;subjective
divine;1;1;;;;
poo;;;;1;1;
immaterial;;;1;;;
tortured;;1;;;;1
chase;;;;;1;
swim;;;;;1;
angelic;;;;;;1
purloin;;;1;;;
bane;1;;;;;1
accomplishment;;;;;;1
valiant;1;;;;;1
spit;;;;;1;
hooker;;;;1;;1
jog;;;;;1;
imperfection;;1;;;;
tbh;;;;1;;
lithe;;;;;1;
flee;;;;;1;
aptitude;;1;1;;;
vain;1;;;;;1
word;literary;abstract;objective;colloquial;concrete;subjective
well-written;;;1;;;
jk;;;;1;;
ecstatic;1;;;;;
revelry;1;;;;;
bff;;;;1;;
finalize;;;1;;;
fag;;;;1;;1
associate;;1;1;;;
intrinsic;;1;1;;;
diversify;;;1;;;
fab;;;;1;;1
pussy;;;;1;;
plenipotentiary;1;;;;;
foreboding;1;;;;;
elixir;1;;;;;
contingent;;;1;;;
well-dressed;;;1;;;1
beset;1;;;;;
conduct;;;1;;;
ordnance;;;1;;;
word;literary;abstract;objective;colloquial;concrete;subjective
wherefore;1;;;;;
shoulda;;;;1;;
incidental;;;1;;;
kinda;;;;1;;
squash;;;;;1;
behemoth;1;;;;;
brutal;;;;;;1
mechanism;;1;1;;;
monkey;;;;;1;
orgasmic;;;1;;;
denouement;1;;;;;
wuss;;;;1;;1
expedient;;;1;;;
feet;;;;;1;
dodgy;;;;1;;1
category;;1;1;;;
fam;;;;1;;
swing;;;;;1;
objectionable;;;;;;1
autocratic;;;;;;1
word;literary;abstract;objective;colloquial;concrete;subjective
jocular;1;;;;;
waive;;1;1;;;
